"Statistic Label","Year","Ward","UNIT","VALUE"
"Number of Farms","1999","Abbey (Antrim and Newtownabbey)","Number",""
"Number of Farms","1999","Aldergrove","Number",""
"Number of Farms","1999","Antrim Centre","Number",""
"Number of Farms","1999","Ballyclare East","Number",""
"Number of Farms","1999","Ballyclare West","Number",""
"Number of Farms","1999","Ballyduff","Number",""
"Number of Farms","1999","Ballyhenry","Number",""
"Number of Farms","1999","Ballynure","Number",""
"Number of Farms","1999","Ballyrobert","Number",""
"Number of Farms","1999","Burnthill","Number",""
"Number of Farms","1999","Carnmoney","Number",""
"Number of Farms","1999","Carnmoney Hill","Number",""
"Number of Farms","1999","Clady","Number",""
"Number of Farms","1999","Collinbridge","Number",""
"Number of Farms","1999","Cranfield","Number",""
"Number of Farms","1999","Crumlin","Number",""
"Number of Farms","1999","Doagh","Number",""
"Number of Farms","1999","Fairview","Number",""
"Number of Farms","1999","Fountain Hill","Number",""
"Number of Farms","1999","Glebe (Antrim and Newtownabbey)","Number",""
"Number of Farms","1999","Glengormley","Number",""
"Number of Farms","1999","Greystone (Antrim and Newtownabbey)","Number",""
"Number of Farms","1999","Hightown","Number",""
"Number of Farms","1999","Jordanstown","Number",""
"Number of Farms","1999","Mallusk","Number",""
"Number of Farms","1999","Monkstown","Number",""
"Number of Farms","1999","Mossley","Number",""
"Number of Farms","1999","O'Neill","Number",""
"Number of Farms","1999","Parkgate","Number",""
"Number of Farms","1999","Randalstown","Number",""
"Number of Farms","1999","Rathcoole","Number",""
"Number of Farms","1999","Rostulla","Number",""
"Number of Farms","1999","Shilvodan","Number",""
"Number of Farms","1999","Springfarm","Number",""
"Number of Farms","1999","Steeple","Number",""
"Number of Farms","1999","Stiles","Number",""
"Number of Farms","1999","Templepatrick","Number",""
"Number of Farms","1999","Toome","Number",""
"Number of Farms","1999","Valley (Antrim and Newtownabbey)","Number",""
"Number of Farms","1999","Whitehouse","Number",""
"Number of Farms","1999","Aghagallon","Number",""
"Number of Farms","1999","Ballybay","Number",""
"Number of Farms","1999","Banbridge East","Number",""
"Number of Farms","1999","Banbridge North","Number",""
"Number of Farms","1999","Banbridge South","Number",""
"Number of Farms","1999","Banbridge West","Number",""
"Number of Farms","1999","Blackwatertown","Number",""
"Number of Farms","1999","Bleary","Number",""
"Number of Farms","1999","Brownlow","Number",""
"Number of Farms","1999","Cathedral (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","1999","Corcrain","Number",""
