Station Code,Location,Grid Reference,Easting,Northing,Date,Time,Q,NO2-N (mg/l),Q,NO3-N (mg/l),Q,P(SOL) (mg/l),Q,P(TOT) (mg/l),Q,TON (mg/l)
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,15/07/1998,1035,<  ,0.02,,0.32,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,14/08/1998,1035,<  ,0.02,,0.695,,0.06,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,11/09/1998,930,,0.03,,1.73,,0.08,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,12/10/1998,1055,<  ,0.02,,2.3,,0.09,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,10/11/1998,1110,,0.03,,3.4,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,09/12/1998,1110,,0.02,,3.1,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,25/01/1999,1125,<  ,0.02,,1.4,,0.02,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,26/02/1999,1130,,0.02,,2.1,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/03/1999,1100,,0.04,,1.3,,0.11,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,27/04/1999,1055,,0.02,,2.7,,0.06,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,26/05/1999,1050,,0.05,,1.8,,0.32,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,24/06/1999,1015,,0.02,,1.97,,0.14,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,23/07/1999,1115,,0.02,,1.97,,0.18,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,23/08/1999,1050,,0.03,,1.76,,0.54,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/09/1999,1055,,0.02,,1.97,,0.06,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/10/1999,1145,,0.05,,2.74,,0.15,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,19/11/1999,1020,,0.04,,2.22,,0.07,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,09/12/1999,1120,<  ,0.02,,2.28,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,31/01/2000,1140,,0.0175042,,0.46,,0.13,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/02/2000,1150,,0.036,,1.6,,0.44,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/03/2000,1200,,0.12,,1.289,,0.85,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/04/2000,1145,,0.053,,1.94,,0.16,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,31/05/2000,1050,,0.041,,1.87,,0.19,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,27/06/2000,1125,,0.204,,1.538,,0.83,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/07/2000,1100,,0.096,,0.95,,0.2,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/08/2000,1110,,0.021,,1.678,,0.34,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/09/2000,1050,,0.02,,2.15,,0.07,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,26/10/2000,1100,,0.0175,,2.51,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,27/11/2000,1110,,0.0117,,2.0843,,0.03,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/01/2001,1045,,0.015,,1.85,,0.02,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,01/03/2001,1150,,0.064,,2.033,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,02/04/2001,1050,,0.027,,1.564,,0.03,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,25/04/2001,1045,,0.024,,1.82,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/05/2001,1025,,0.153,,2.56,,0.42,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/06/2001,1120,,0.028,,0.59,,0.11,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/07/2001,1115,,0.423,,2.91,,0.67,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/08/2001,1130,,0.057,,0.52,,0.03,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/09/2001,1050,,0.028,,0.23,,0.25,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,31/10/2001,1110,,0.047,,0.6,,0.04,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,27/11/2001,1000,,0.014,,1.23,,0.07,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,14/12/2001,1110,,0.013,,3.51,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/01/2002,1110,,0.01,,3.66,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/02/2002,1130,,0.007,,3.87,,0.08,,,,
